地址,经度,纬度,业务分类,客户名称,所在城市,所属团队,汇总时间,项目名称,项目周期,商务负责人,合同额（万元）,款项名称,开票额（万元）,到帐额（万元）,地产品牌,已开票未到账额,未执行完合同额,类型
上海市杨浦区国泰路127弄复旦科技园2号楼339,,,培训,上海复旦规划建筑设计研究院有限公司,上海,培训事业部,2017-11-13 00:00:00,数据培训服务合同,一期,黄积小,,一期款,0.69,,,,,脉策经营收入
上海市杨浦区国泰路127弄复旦科技园2号楼339,,,培训,上海复旦规划建筑设计研究院有限公司,上海,培训事业部,2017-12-01 00:00:00,数据培训服务合同,一期,黄积小,,一期款,,0.69,,,,脉策经营收入
郑州经济技术开发区经开第八大街以东,,,地产,郑州绿都地产集团股份有限公司,郑州,地产事业部,2017-11-18 00:00:00,DataMap,零期,王可青,25,,,,绿都,,1.25,脉策经营收入
郑州经济技术开发区经开第八大街以东,,,地产,郑州绿都地产集团股份有限公司,郑州,地产事业部,2017-11-17 00:00:00,DataMap,一期,王可青,,一期款,10,,绿都,,,脉策经营收入
郑州经济技术开发区经开第八大街以东,,,地产,郑州绿都地产集团股份有限公司,郑州,地产事业部,2017-12-04 00:00:00,DataMap,一期,王可青,,一期款,,10,绿都,,,脉策经营收入
郑州经济技术开发区经开第八大街以东,,,地产,郑州绿都地产集团股份有限公司,郑州,地产事业部,2017-12-13 00:00:00,DataMap,二期,王可青,,二期款,13.75,,绿都,,,脉策经营收入
郑州经济技术开发区经开第八大街以东,,,地产,郑州绿都地产集团股份有限公司,郑州,地产事业部,2017-12-27 00:00:00,DataMap,二期,王可青,,二期款,,13.75,绿都,,,脉策经营收入
深圳市前海深港合作区前湾一路1号A栋201室,,,地产,深圳威新软件科技有限公司-金地商置,深圳,地产事业部,2017-11-18 00:00:00,DataMap,零期,王可青,24,,,,金地,,4.8,脉策经营收入
深圳市前海深港合作区前湾一路1号A栋201室,,,地产,深圳威新软件科技有限公司-金地商置,深圳,地产事业部,2017-11-29 00:00:00,DataMap,一期,王可青,,一期款,7.2,,金地,,,脉策经营收入
深圳市前海深港合作区前湾一路1号A栋201室,,,地产,深圳威新软件科技有限公司-金地商置,深圳,地产事业部,2017-12-15 00:00:00,DataMap,一期,王可青,,一期款,,7.2,金地,,,脉策经营收入
深圳市前海深港合作区前湾一路1号A栋201室,,,地产,深圳威新软件科技有限公司-金地商置,深圳,地产事业部,2018-04-13 00:00:00,DataMap,二期,王可青,,二期款,12,,金地,,,脉策经营收入
深圳市前海深港合作区前湾一路1号A栋201室,,,地产,深圳威新软件科技有限公司-金地商置,深圳,地产事业部,2018-04-28 00:00:00,DataMap,二期,王可青,,二期款,,12,金地,,,脉策经营收入
上海市浦东新区浦建路241号,,,城市,上海市浦东新区规划设计研究院,上海,城市事业部,2017-11-19 00:00:00,上海市浦东新区规划设计研究院,零期,刘谷一,19,,,,,,,脉策经营收入
上海市浦东新区浦建路241号,,,城市,上海市浦东新区规划设计研究院,上海,城市事业部,2017-11-19 00:00:00,上海市浦东新区规划设计研究院,一期,刘谷一,,一期款,19,,,,,脉策经营收入
上海市浦东新区浦建路241号,,,城市,上海市浦东新区规划设计研究院,上海,城市事业部,2017-12-14 00:00:00,上海市浦东新区规划设计研究院,一期,刘谷一,,一期款,,19,,,,脉策经营收入
杭州市桐庐县迎春南路258号国资大厦12楼1209室,,,旅游,桐庐县旅游委员会,杭州,旅游事业部,2017-11-21 00:00:00,旅游大数据平台建设项目,零期,李庆华,48,,,,,14.4,14.4,脉策经营收入
杭州市桐庐县迎春南路258号国资大厦12楼1209室,,,旅游,桐庐县旅游委员会,杭州,旅游事业部,2017-11-29 00:00:00,旅游大数据平台建设项目,一期,李庆华,,一期款,33.6,,,,,脉策经营收入
杭州市桐庐县迎春南路258号国资大厦12楼1209室,,,旅游,桐庐县旅游委员会,杭州,旅游事业部,2017-12-12 00:00:00,旅游大数据平台建设项目,一期,李庆华,,一期款,,33.6,,,,脉策经营收入
杭州市桐庐县迎春南路258号国资大厦12楼1209室,,,旅游,桐庐县旅游委员会,杭州,旅游事业部,2018-05-23 00:00:00,旅游大数据平台建设项目,二期,李庆华,,二期款,14.4,,,,,脉策经营收入
上海市黄浦区北京西路95号701室,,,城市,上海市规划编审中心,上海,城市事业部,2017-11-28 00:00:00,15分钟社区生活圈设施使用监测的方法研究(3个合同）,零期,刘培锐,18,,,,,,12,脉策经营收入
上海市黄浦区北京西路95号701室,,,城市,上海市规划编审中心,上海,城市事业部,2018-02-02 00:00:00,15分钟社区生活圈设施使用监测的方法研究(3个合同）,一期,刘培锐,,一期款,6,,,,,脉策经营收入
上海市黄浦区北京西路95号701室,,,城市,上海市规划编审中心,上海,城市事业部,2018-03-27 00:00:00,15分钟社区生活圈设施使用监测的方法研究(3个合同）,一期,刘培锐,,一期款,,6,,,,脉策经营收入
上海市浦东区陆家嘴环路汇亚大厦,,,地产,GIC,上海,地产事业部,2017-12-04 00:00:00,DataMap,零期,王可青,29.167109,,,,GIC,,,脉策经营收入
上海市浦东区陆家嘴环路汇亚大厦,,,地产,GIC,上海,地产事业部,2018-01-16 00:00:00,DataMap,一期,王可青,,一期款,29.167109,,GIC,,,脉策经营收入
上海市浦东区陆家嘴环路汇亚大厦,,,地产,GIC,上海,地产事业部,2018-01-16 00:00:00,DataMap,一期,王可青,,一期款,,29.167109,GIC,,,脉策经营收入
北京市东直门外大街39号京投快轨大厦608,,,地产,北京腾云天下科技有限公司,北京,地产事业部,2017-12-03 00:00:00,蓝光项目,零期,汤舸,75,,,,蓝光,,,脉策经营收入
北京市东直门外大街39号京投快轨大厦608,,,地产,北京腾云天下科技有限公司,北京,地产事业部,2018-02-26 00:00:00,蓝光项目,一期,汤舸,,一期款,75,,蓝光,,,脉策经营收入
北京市东直门外大街39号京投快轨大厦608,,,地产,北京腾云天下科技有限公司,北京,地产事业部,2018-02-28 00:00:00,蓝光项目,一期,汤舸,,一期款,,75,蓝光,,,脉策经营收入
上海市浦东新区平度路258号,,,地产,上海德兴投资管理有限公司,上海,地产事业部,2017-12-07 00:00:00,DataMap,零期,王可青,32,,,,证大,,,脉策经营收入
上海市浦东新区平度路258号,,,地产,上海德兴投资管理有限公司,上海,地产事业部,2017-12-07 00:00:00,DataMap,一期,王可青,,一期款,16,,证大,,,脉策经营收入
上海市浦东新区平度路258号,,,地产,上海德兴投资管理有限公司,上海,地产事业部,2017-12-21 00:00:00,DataMap,一期,王可青,,一期款,,16,证大,,,脉策经营收入
上海市浦东新区平度路258号,,,地产,上海德兴投资管理有限公司,上海,地产事业部,2018-04-19 00:00:00,DataMap,二期,王可青,,二期款,16,,证大,,,脉策经营收入
上海市浦东新区平度路258号,,,地产,上海德兴投资管理有限公司,上海,地产事业部,2018-05-02 00:00:00,DataMap,二期,王可青,,二期款,,16,证大,,,脉策经营收入
上海市杨浦区长阳路1568号,,,零售和其他,上海经纬建筑规划设计研究院股份公司,上海,城市事业部,2017-12-12 00:00:00,数据咨询服务合同,零期,刘谷一,5,,,,,5,5,脉策经营收入
上海市杨浦区长阳路1568号,,,零售和其他,上海经纬建筑规划设计研究院股份公司,上海,城市事业部,2018-01-10 00:00:00,数据咨询服务合同,一期,刘谷一,,一期款,5,,,,,脉策经营收入
北京市西城区鸭子桥10号院,,,零售和其他,北京城市象限科技有限公司,北京,后台,2017-12-08 00:00:00,数据咨询服务合同,零期,孙怀杰,2,,,,,,,脉策经营收入
北京市西城区鸭子桥10号院,,,零售和其他,北京城市象限科技有限公司,北京,后台,2017-12-08 00:00:00,数据咨询服务合同,一期,孙怀杰,,,1,,,,,脉策经营收入
北京市西城区鸭子桥10号院,,,零售和其他,北京城市象限科技有限公司,北京,后台,2017-12-08 00:00:00,数据咨询服务合同,一期,孙怀杰,,,,1,,,,脉策经营收入
北京市西城区鸭子桥10号院,,,零售和其他,北京城市象限科技有限公司,北京,后台,2018-01-25 00:00:00,数据咨询服务合同,二期,孙怀杰,,二期款,1,,,,,脉策经营收入
